Employee Id,Date,Start,End,A,TEST,Badge,0,DateTimePunchStart,DateTimePunchEnd
1042,04/09/2018,1600.00,1936,A,TEST,12997139,0,201804091600,201804091936
1103,04/09/2018,1200.00,Z,A,TEST,11166159,0,,
1103,04/10/2018,1200.00,Z,A,TEST,11166159,0,,
1103,04/11/2018,1200.00,Z,A,TEST,11166159,0,,
1103,04/12/2018,1200.00,Z,A,TEST,11166159,0,,
1103,04/13/2018,1200.00,Z,A,TEST,11166159,0,,
1103,04/14/2018,1200.00,Z,A,TEST,11166159,0,,
1042,04/09/2018,1600.00,1936,A,TEST,12997139,0,201804091600,201804091936
1042,04/09/2018,1030.00,1530,A,TEST,12997139,0,201804091030,201804091530
1042,04/09/2018,453.00,1000,A,TEST,12997139,0,201804090453,201804091000
1042,04/10/2018,1000.00,1530,A,TEST,12997139,0,201804101000,201804101530
1042,04/10/2018,1600.00,1635,A,TEST,12997139,0,201804101600,201804101635
1042,04/10/2018,428.00,0930,A,TEST,12997139,0,201804100428,201804100930
1042,04/11/2018,530.00,1330,A,TEST,12997139,0,201804110530,201804111330
1042,04/12/2018,1030.00,1640,A,TEST,12997139,0,201804121030,201804121640
1042,04/12/2018,453.00,1000,A,TEST,12997139,0,201804120453,201804121000
1042,04/13/2018,1000.00,1500,A,TEST,12997139,0,201804131000,201804131500
1042,04/13/2018,1530.00,1824,A,TEST,12997139,0,201804131530,201804131824
1042,04/13/2018,433.00,0930,A,TEST,12997139,0,201804130433,201804130930
1042,04/14/2018,541.00,1110,A,TEST,12997139,0,201804140541,201804141110
1044,04/09/2018,1030.00,1652,A,TEST,9480853,0,201804091030,201804091652
1044,04/09/2018,609.00,1000,A,TEST,9480853,0,201804090609,201804091000
1044,04/10/2018,1030.00,1809,A,TEST,9480853,0,201804101030,201804101809
1044,04/10/2018,614.00,1000,A,TEST,9480853,0,201804100614,201804101000
1044,04/11/2018,1030.00,1826,A,TEST,9480853,0,201804111030,201804111826
1044,04/11/2018,611.00,1000,A,TEST,9480853,0,201804110611,201804111000
1044,04/12/2018,1030.00,1825,A,TEST,9480853,0,201804121030,201804121825
1044,04/12/2018,609.00,1000,A,TEST,9480853,0,201804120609,201804121000
1044,04/13/2018,1030.00,1804,A,TEST,9480853,0,201804131030,201804131804
1044,04/13/2018,608.00,1000,A,TEST,9480853,0,201804130608,201804131000
1044,04/14/2018,1200.00,Z,A,TEST,9480853,0,,
1093,04/09/2018,1215.00,1715,A,TEST,13467259,0,201804091215,201804091715
1093,04/09/2018,645.00,1145,A,TEST,13467259,0,201804090645,201804091145
1093,04/09/2018,1745.00,1948,A,TEST,13467259,0,201804091745,201804091948
1093,04/10/2018,645.00,1145,A,TEST,13467259,0,201804100645,201804101145
1093,04/10/2018,1215.00,1819,A,TEST,13467259,0,201804101215,201804101819
1093,04/11/2018,1300.00,1815,A,TEST,13467259,0,201804111300,201804111815
1093,04/11/2018,630.00,1230,A,TEST,13467259,0,201804110630,201804111230
1093,04/12/2018,1315.00,1834,A,TEST,13467259,0,201804121315,201804121834
1093,04/12/2018,643.00,1245,A,TEST,13467259,0,201804120643,201804121245
1093,04/13/2018,1315.00,1745,A,TEST,13467259,0,201804131315,201804131745
1093,04/13/2018,645.00,1245,A,TEST,13467259,0,201804130645,201804131245
1103,04/09/2018,1200.00,Z,A,TEST,11166159,0,,
1103,04/10/2018,1200.00,Z,A,TEST,11166159,0,,
1103,04/11/2018,1200.00,Z,A,TEST,11166159,0,,
1103,04/12/2018,1200.00,Z,A,TEST,11166159,0,,
1103,04/13/2018,1200.00,Z,A,TEST,11166159,0,,
1103,04/14/2018,1200.00,Z,A,TEST,11166159,0,,
1137,04/09/2018,1200.00,1827,A,TEST,013991847,0,201804091200,201804091827
1137,04/09/2018,638.00,1130,A,TEST,013991847,0,201804090638,201804091130
1137,04/10/2018,1200.00,1814,A,TEST,013991847,0,201804101200,201804101814
1137,04/10/2018,638.00,1130,A,TEST,013991847,0,201804100638,201804101130
1137,04/11/2018,1200.00,1856,A,TEST,013991847,0,201804111200,201804111856
1137,04/11/2018,627.00,1130,A,TEST,013991847,0,201804110627,201804111130
1137,04/12/2018,1200.00,1821,A,TEST,013991847,0,201804121200,201804121821
1137,04/12/2018,643.00,1130,A,TEST,013991847,0,201804120643,201804121130
1137,04/13/2018,1200.00,1830,A,TEST,013991847,0,201804131200,201804131830
1137,04/13/2018,640.00,1130,A,TEST,013991847,0,201804130640,201804131130
1137,04/14/2018,1200.00,Z,A,TEST,013991847,0,,
1168,04/09/2018,1000.00,1526,A,TEST,11616553,0,201804091000,201804091526
1168,04/09/2018,430.00,0930,A,TEST,11616553,0,201804090430,201804090930
1168,04/10/2018,1100.00,1607,A,TEST,11616553,0,201804101100,201804101607
1168,04/10/2018,430.00,1030,A,TEST,11616553,0,201804100430,201804101030
1168,04/11/2018,1100.00,1553,A,TEST,11616553,0,201804111100,201804111553
1168,04/11/2018,430.00,1030,A,TEST,11616553,0,201804110430,201804111030
1168,04/12/2018,1100.00,1618,A,TEST,11616553,0,201804121100,201804121618
1168,04/12/2018,430.00,1030,A,TEST,11616553,0,201804120430,201804121030
1168,04/13/2018,430.00,1030,A,TEST,11616553,0,201804130430,201804131030
1168,04/13/2018,1100.00,1559,A,TEST,11616553,0,201804131100,201804131559
1168,04/14/2018,1200.00,Z,A,TEST,11616553,0,,
1172,04/09/2018,457.00,1100,A,TEST,11166161,0,201804090457,201804091100
1172,04/09/2018,1130.00,1704,A,TEST,11166161,0,201804091130,201804091704
1172,04/10/2018,1130.00,1644,A,TEST,11166161,0,201804101130,201804101644
1172,04/10/2018,459.00,1100,A,TEST,11166161,0,201804100459,201804101100
1172,04/11/2018,1130.00,1615,A,TEST,11166161,0,201804111130,201804111615
1172,04/11/2018,457.00,1100,A,TEST,11166161,0,201804110457,201804111100
1172,04/12/2018,1130.00,1629,A,TEST,11166161,0,201804121130,201804121629
1172,04/12/2018,458.00,1100,A,TEST,11166161,0,201804120458,201804121100
1172,04/13/2018,457.00,1100,A,TEST,11166161,0,201804130457,201804131100
1172,04/13/2018,1130.00,1646,A,TEST,11166161,0,201804131130,201804131646
1172,04/14/2018,458.00,1000,A,TEST,11166161,0,201804140458,201804141000
1172,04/14/2018,1030.00,1202,A,TEST,11166161,0,201804141030,201804141202
1211,04/09/2018,930.00,1500,A,TEST,9694387,0,201804090930,201804091500
1211,04/09/2018,1530.00,1831,A,TEST,9694387,0,201804091530,201804091831
1211,04/09/2018,455.00,0900,A,TEST,9694387,0,201804090455,201804090900
1211,04/10/2018,930.00,1500,A,TEST,9694387,0,201804100930,201804101500
1211,04/10/2018,1530.00,1833,A,TEST,9694387,0,201804101530,201804101833
1211,04/10/2018,453.00,0900,A,TEST,9694387,0,201804100453,201804100900
1211,04/11/2018,1030.00,1557,A,TEST,9694387,0,201804111030,201804111557
1211,04/11/2018,454.00,1000,A,TEST,9694387,0,201804110454,201804111000
1211,04/12/2018,1000.00,1532,A,TEST,9694387,0,201804121000,201804121532
1211,04/12/2018,454.00,0930,A,TEST,9694387,0,201804120454,201804120930
1211,04/13/2018,1530.00,1858,A,TEST,9694387,0,201804131530,201804131858
1211,04/13/2018,930.00,1500,A,TEST,9694387,0,201804130930,201804131500
1211,04/13/2018,454.00,0900,A,TEST,9694387,0,201804130454,201804130900
1211,04/14/2018,1200.00,Z,A,TEST,9694387,0,,
1316,04/09/2018,1130.00,1818,A,TEST,9480828,0,201804091130,201804091818
1316,04/09/2018,628.00,1100,A,TEST,9480828,0,201804090628,201804091100
1316,04/10/2018,1130.00,1802,A,TEST,9480828,0,201804101130,201804101802
1316,04/10/2018,629.00,1100,A,TEST,9480828,0,201804100629,201804101100
1316,04/11/2018,1200.00,1820,A,TEST,9480828,0,201804111200,201804111820
1316,04/11/2018,626.00,1130,A,TEST,9480828,0,201804110626,201804111130
1316,04/12/2018,1130.00,1816,A,TEST,9480828,0,201804121130,201804121816
1316,04/12/2018,630.00,1100,A,TEST,9480828,0,201804120630,201804121100
1316,04/13/2018,1130.00,1703,A,TEST,9480828,0,201804131130,201804131703
1316,04/13/2018,631.00,1100,A,TEST,9480828,0,201804130631,201804131100
1316,04/14/2018,1200.00,Z,A,TEST,9480828,0,,
1350,04/09/2018,556.00,1200,A,TEST,12997327,0,201804090556,201804091200
1350,04/09/2018,1230.00,1901,A,TEST,12997327,0,201804091230,201804091901
1350,04/10/2018,1130.00,1735,A,TEST,12997327,0,201804101130,201804101735
1350,04/10/2018,557.00,1100,A,TEST,12997327,0,201804100557,201804101100
1350,04/11/2018,1130.00,1620,A,TEST,12997327,0,201804111130,201804111620
1350,04/11/2018,529.00,1100,A,TEST,12997327,0,201804110529,201804111100
1350,04/12/2018,1300.00,1624,A,TEST,12997327,0,201804121300,201804121624
1350,04/12/2018,556.00,1230,A,TEST,12997327,0,201804120556,201804121230
1350,04/13/2018,528.00,1030,A,TEST,12997327,0,201804130528,201804131030
1350,04/13/2018,1100.00,1735,A,TEST,12997327,0,201804131100,201804131735
1373,04/09/2018,1030.00,1500,A,TEST,13467186,0,201804091030,201804091500
1373,04/09/2018,1530.00,1822,A,TEST,13467186,0,201804091530,201804091822
1373,04/09/2018,529.00,1000,A,TEST,13467186,0,201804090529,201804091000
1373,04/10/2018,1030.00,1624,A,TEST,13467186,0,201804101030,201804101624
1373,04/10/2018,530.00,1000,A,TEST,13467186,0,201804100530,201804101000
1373,04/11/2018,1030.00,1659,A,TEST,13467186,0,201804111030,201804111659
1373,04/11/2018,525.00,1000,A,TEST,13467186,0,201804110525,201804111000
1373,04/12/2018,1030.00,1557,A,TEST,13467186,0,201804121030,201804121557
1373,04/12/2018,528.00,1000,A,TEST,13467186,0,201804120528,201804121000
1373,04/13/2018,1030.00,1745,A,TEST,13467186,0,201804131030,201804131745
1373,04/13/2018,528.00,1000,A,TEST,13467186,0,201804130528,201804131000
1373,04/14/2018,1200.00,Z,A,TEST,13467186,0,,
1387,04/09/2018,1215.00,1801,A,TEST,11012055,0,201804091215,201804091801
1387,04/09/2018,645.00,1145,A,TEST,11012055,0,201804090645,201804091145
1387,04/10/2018,1300.00,1801,A,TEST,11012055,0,201804101300,201804101801
1387,04/10/2018,645.00,1230,A,TEST,11012055,0,201804100645,201804101230
1387,04/11/2018,1215.00,1857,A,TEST,11012055,0,201804111215,201804111857
1387,04/11/2018,629.00,1145,A,TEST,11012055,0,201804110629,201804111145
1387,04/12/2018,1300.00,1800,A,TEST,11012055,0,201804121300,201804121800
1387,04/12/2018,644.00,1230,A,TEST,11012055,0,201804120644,201804121230
1387,04/13/2018,1230.00,1716,A,TEST,11012055,0,201804131230,201804131716
1387,04/13/2018,644.00,1200,A,TEST,11012055,0,201804130644,201804131200
1426,04/09/2018,1100.00,1600,A,TEST,13466940,0,201804091100,201804091600
1426,04/09/2018,1630.00,1845,A,TEST,13466940,0,201804091630,201804091845
1426,04/09/2018,524.00,1030,A,TEST,13466940,0,201804090524,201804091030
1426,04/10/2018,1630.00,1836,A,TEST,13466940,0,201804101630,201804101836
1426,04/10/2018,1100.00,1600,A,TEST,13466940,0,201804101100,201804101600
1426,04/10/2018,524.00,1030,A,TEST,13466940,0,201804100524,201804101030
1426,04/11/2018,1100.00,1600,A,TEST,13466940,0,201804111100,201804111600
1426,04/11/2018,1630.00,1829,A,TEST,13466940,0,201804111630,201804111829
1426,04/11/2018,528.00,1030,A,TEST,13466940,0,201804110528,201804111030
1426,04/12/2018,1100.00,1446,A,TEST,13466940,0,201804121100,201804121446
1426,04/12/2018,525.00,1030,A,TEST,13466940,0,201804120525,201804121030
1426,04/13/2018,1100.00,1600,A,TEST,13466940,0,201804131100,201804131600
1426,04/13/2018,1630.00,1851,A,TEST,13466940,0,201804131630,201804131851
1426,04/13/2018,524.00,1030,A,TEST,13466940,0,201804130524,201804131030
1426,04/14/2018,630.00,1155,A,TEST,13466940,0,201804140630,201804141155
1530,04/09/2018,659.00,1149,A,TEST,12652681,0,201804090659,201804091149
1530,04/09/2018,1238.00,1604,A,TEST,12652681,0,201804091238,201804091604
1530,04/10/2018,705.00,1140,A,TEST,12652681,0,201804100705,201804101140
1530,04/10/2018,1211.00,1431,A,TEST,12652681,0,201804101211,201804101431
1530,04/11/2018,703.00,1142,A,TEST,12652681,0,201804110703,201804111142
1530,04/11/2018,1238.00,1605,A,TEST,12652681,0,201804111238,201804111605
1530,04/12/2018,714.00,1214,A,TEST,12652681,0,201804120714,201804121214
1530,04/12/2018,1314.00,1647,A,TEST,12652681,0,201804121314,201804121647
1530,04/13/2018,705.00,1136,A,TEST,12652681,0,201804130705,201804131136
1530,04/13/2018,1206.00,1436,A,TEST,12652681,0,201804131206,201804131436
1588,04/09/2018,1215.00,1801,A,TEST,12996956,0,201804091215,201804091801
1588,04/09/2018,645.00,1145,A,TEST,12996956,0,201804090645,201804091145
1588,04/10/2018,1215.00,1754,A,TEST,12996956,0,201804101215,201804101754
1588,04/10/2018,644.00,1145,A,TEST,12996956,0,201804100644,201804101145
1588,04/11/2018,1200.00,1747,A,TEST,12996956,0,201804111200,201804111747
1588,04/11/2018,631.00,1130,A,TEST,12996956,0,201804110631,201804111130
1588,04/12/2018,1215.00,1814,A,TEST,12996956,0,201804121215,201804121814
1588,04/12/2018,643.00,1145,A,TEST,12996956,0,201804120643,201804121145
1588,04/13/2018,1215.00,1744,A,TEST,12996956,0,201804131215,201804131744
1588,04/13/2018,644.00,1145,A,TEST,12996956,0,201804130644,201804131145
1606,04/09/2018,1100.00,1730,A,TEST,013889315,0,201804091100,201804091730
1606,04/09/2018,522.00,1030,A,TEST,013889315,0,201804090522,201804091030
1606,04/10/2018,1100.00,1706,A,TEST,013889315,0,201804101100,201804101706
1606,04/10/2018,522.00,1030,A,TEST,013889315,0,201804100522,201804101030
1606,04/11/2018,1100.00,1606,A,TEST,013889315,0,201804111100,201804111606
1606,04/11/2018,455.00,1030,A,TEST,013889315,0,201804110455,201804111030
1606,04/12/2018,1200.00,Z,A,TEST,013889315,0,,
1606,04/13/2018,1100.00,1646,A,TEST,013889315,0,201804131100,201804131646
1606,04/13/2018,522.00,1030,A,TEST,013889315,0,201804130522,201804131030
1606,04/14/2018,1200.00,Z,A,TEST,013889315,0,,
1636,04/09/2018,1330.00,1656,A,TEST,13466973,0,201804091330,201804091656
1636,04/09/2018,845.00,1300,A,TEST,13466973,0,201804090845,201804091300
1636,04/10/2018,1105.00,1745,A,TEST,13466973,0,201804101105,201804101745
1636,04/10/2018,617.00,1035,A,TEST,13466973,0,201804100617,201804101035
1636,04/11/2018,1200.00,Z,A,TEST,13466973,0,,
1636,04/12/2018,1105.00,1747,A,TEST,13466973,0,201804121105,201804121747
1636,04/12/2018,613.00,1035,A,TEST,13466973,0,201804120613,201804121035
1636,04/13/2018,1140.00,1834,A,TEST,13466973,0,201804131140,201804131834
1636,04/13/2018,616.00,1110,A,TEST,13466973,0,201804130616,201804131110
1636,04/14/2018,1155.00,1502,A,TEST,13466973,0,201804141155,201804141502
1636,04/14/2018,727.00,1125,A,TEST,13466973,0,201804140727,201804141125
1661,04/09/2018,1030.00,1829,A,TEST,013467031,0,201804091030,201804091829
1661,04/09/2018,600.00,1000,A,TEST,013467031,0,201804090600,201804091000
1661,04/10/2018,1030.00,1730,A,TEST,013467031,0,201804101030,201804101730
1661,04/10/2018,602.00,1000,A,TEST,013467031,0,201804100602,201804101000
1661,04/11/2018,1030.00,1500,A,TEST,013467031,0,201804111030,201804111500
